"2021-07-22";"10:26:42";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"2021-07-21 16:20:34.000";"2021-07-21";"16:20:34";"F";"1387";"382";"1235";"0";"0.691";"0.0"
"2021-07-21 16:20:40.000";"2021-07-21";"16:20:40";"F";"1388";"398";"1276";"0";"0.688";"0.0"
"2021-07-21 16:20:46.000";"2021-07-21";"16:20:46";"F";"1389";"355";"1116";"1";"0.682";"0.3"
"2021-07-21 16:20:51.000";"2021-07-21";"16:20:51";"F";"1390";"364";"1196";"0";"0.696";"0.0"
"2021-07-21 16:20:57.000";"2021-07-21";"16:20:57";"F";"1391";"301";"1059";"0";"0.716";"0.0"
"2021-07-21 16:21:03.000";"2021-07-21";"16:21:03";"F";"1392";"329";"1069";"0";"0.692";"0.0"
"2021-07-21 16:21:09.000";"2021-07-21";"16:21:09";"F";"1393";"258";"856";"0";"0.699";"0.0"
"2021-07-21 16:21:16.000";"2021-07-21";"16:21:16";"F";"1394";"385";"1231";"0";"0.687";"0.0"
"2021-07-21 16:21:21.000";"2021-07-21";"16:21:21";"F";"1395";"290";"962";"1";"0.699";"0.3"
"2021-07-21 16:21:27.000";"2021-07-21";"16:21:27";"F";"1396";"183";"566";"1";"0.677";"0.3"
"2021-07-21 16:21:33.000";"2021-07-21";"16:21:33";"F";"1397";"277";"895";"0";"0.691";"0.0"
"2021-07-21 16:21:39.000";"2021-07-21";"16:21:39";"F";"1398";"286";"862";"0";"0.668";"0.0"
"2021-07-21 16:21:45.000";"2021-07-21";"16:21:45";"F";"1399";"305";"999";"0";"0.695";"0.0"
