"colony_id","CALICE","MEASUREMENT","value","depth","act_depth","species","site"
"15OFA5ML","C3","A",0.115,15,24,"OFAV","Media Luna"
"15OFA5ML","C5","CW",0.193,15,24,"OFAV","Media Luna"
"15OFA5ML","C1","W",0.374,15,24,"OFAV","Media Luna"
"15OFA5ML","C1","CW",0.234,15,24,"OFAV","Media Luna"
"15OFA5ML","C4","A",0.12,15,24,"OFAV","Media Luna"
"15OFA5ML","C4","CA",0.043,15,24,"OFAV","Media Luna"
"15OFA5ML","C5","A",0.098,15,24,"OFAV","Media Luna"
"15OFA5ML","C1","H",0.355,15,24,"OFAV","Media Luna"
"15OFA5ML","C2","CW",0.214,15,24,"OFAV","Media Luna"
"15OFA5ML","C3","H",0.376,15,24,"OFAV","Media Luna"
"15OFA5ML","C4","H",0.437,15,24,"OFAV","Media Luna"
"15OFA5ML","C1","CH",0.228,15,24,"OFAV","Media Luna"
"15OFA5ML","C5","CA",0.03,15,24,"OFAV","Media Luna"
"15OFA5ML","C3","CW",0.214,15,24,"OFAV","Media Luna"
"15OFA5ML","C1","CA",0.04,15,24,"OFAV","Media Luna"
"15OFA5ML","C5","CH",0.209,15,24,"OFAV","Media Luna"
"15OFA5ML","C5","H",0.338,15,24,"OFAV","Media Luna"
"15OFA5ML","C1","A",0.111,15,24,"OFAV","Media Luna"
"15OFA5ML","C5","W",0.347,15,24,"OFAV","Media Luna"
"15OFA5ML","C4","CW",0.202,15,24,"OFAV","Media Luna"
"15OFA5ML","C2","W",0.352,15,24,"OFAV","Media Luna"
"15OFA5ML","C4","CH",0.244,15,24,"OFAV","Media Luna"
"15OFA5ML","C4","W",0.344,15,24,"OFAV","Media Luna"
"15OFA5ML","C2","CH",0.22,15,24,"OFAV","Media Luna"
"15OFA5T","C1","CW",0.256,15,15,"OFAV","Turrumote"
"15OFA5T","C2","CH",0.258,15,15,"OFAV","Turrumote"
"15OFA5T","C2","W",0.343,15,15,"OFAV","Turrumote"
"15OFA5T","C5","CA",0.057,15,15,"OFAV","Turrumote"
"15OFA5T","C5","W",0.4,15,15,"OFAV","Turrumote"
"15OFA5T","C4","CH",0.261,15,15,"OFAV","Turrumote"
"15OFA5T","C4","W",0.348,15,15,"OFAV","Turrumote"
"15OFA5T","C4","CW",0.219,15,15,"OFAV","Turrumote"
"15OFA5T","C5","H",0.482,15,15,"OFAV","Turrumote"
"15OFA5T","C5","CH",0.291,15,15,"OFAV","Turrumote"
"15OFA5T","C5","CW",0.248,15,15,"OFAV","Turrumote"
"15OFA5T","C1","W",0.431,15,15,"OFAV","Turrumote"
"15OFA5T","C3","A",0.124,15,15,"OFAV","Turrumote"
"15OFA5T","C2","H",0.412,15,15,"OFAV","Turrumote"
"15OFA5T","C3","W",0.419,15,15,"OFAV","Turrumote"
"15OFA5T","C3","CW",0.24,15,15,"OFAV","Turrumote"
"15OFA5T","C4","H",0.404,15,15,"OFAV","Turrumote"
