SENSOR,Date,Time,S_LightRaw,S_LightCrrx,S_Light_Int_10m
12081,2021-04-08,07:10:00,279,36.5769,0.02194614
12081,2021-04-08,07:20:00,354,46.4094,0.02784564
12081,2021-04-08,07:30:00,438,57.4218,0.03445308
12081,2021-04-08,07:40:00,524,68.6964,0.04121784
12081,2021-04-08,07:50:00,617,80.8887,0.04853322
12081,2021-04-08,08:00:00,708,92.8188,0.05569128
12081,2021-04-08,08:10:00,810,106.191,0.0637146
12081,2021-04-08,08:20:00,911,119.4321,0.07165926
12081,2021-04-08,08:30:00,1023,134.1153,0.08046918
12081,2021-04-08,08:40:00,1135,148.7985,0.0892791
12081,2021-04-08,08:50:00,1249,163.7439,0.09824634
12081,2021-04-08,09:00:00,1355,177.6405,0.1065843
12081,2021-04-08,09:10:00,1473,193.1103,0.11586618
12081,2021-04-08,09:20:00,1592,208.7112,0.12522672
12081,2021-04-08,09:30:00,1716,224.9676,0.13498056
12081,2021-04-08,09:40:00,1830,239.913,0.1439478
12081,2021-04-08,09:50:00,1935,253.6785,0.1522071
12081,2021-04-08,10:00:00,2046,268.2306,0.16093836
12081,2021-04-08,10:10:00,2155,282.5205,0.1695123
12081,2021-04-08,10:20:00,2257,295.8927,0.17753562
12081,2021-04-08,10:30:00,2362,309.6582,0.18579492
12081,2021-04-08,10:40:00,2394,313.8534,0.18831204
12081,2021-04-08,10:50:00,2525,331.0275,0.1986165
12081,2021-04-08,11:00:00,2610,342.171,0.2053026
12081,2021-04-08,11:10:00,2710,355.281,0.2131686
12081,2021-04-08,11:20:00,2815,369.0465,0.2214279
12081,2021-04-08,11:30:00,2904,380.7144,0.22842864
12081,2021-04-08,11:40:00,2978,390.4158,0.23424948
12081,2021-04-08,11:50:00,3033,397.6263,0.23857578
12081,2021-04-08,12:00:00,3083,404.1813,0.24250878
12081,2021-04-08,12:10:00,3116,408.5076,0.24510456
12081,2021-04-08,12:20:00,3153,413.3583,0.24801498
12081,2021-04-08,12:30:00,3168,415.3248,0.24919488
12081,2021-04-08,12:40:00,3156,413.7516,0.24825096
12081,2021-04-08,12:50:00,3123,409.4253,0.24565518
12081,2021-04-08,13:00:00,3094,405.6234,0.24337404
12081,2021-04-08,13:10:00,3097,406.0167,0.24361002
12081,2021-04-08,13:20:00,3108,407.4588,0.24447528
12081,2021-04-08,13:30:00,3095,405.7545,0.2434527
12081,2021-04-08,13:40:00,3071,402.6081,0.24156486
12081,2021-04-08,13:50:00,3057,400.7727,0.24046362
12081,2021-04-08,14:00:00,2962,388.3182,0.23299092
