,colony_id,species,treatment,recovered,airbrush_volume,surface_area,A,CA,D,di,Cdi,chla.ug.cm2,chlc2.ug.cm2,sym.cm2,prot_mg.cm2,Host_AFDW_mg.cm2,Sym_AFDW_mg.cm2,chla.sym,full_treatment
92,OFAV_SP_2JQ8,OFAV,SP,p,18,3.423398329,0.1166,0.0476,11.457,0.345,0.2241,5.700519812,0.66355118,84.56509355,0.472095943,5.126484947,12.61903987,0.067409845,OFAV_SP
93,OFAV_SP_3EV30_P1,OFAV,SP,P1,12,5.69637883,NA,NA,NA,NA,NA,4.436221809,1.045506308,NA,NA,1.369290954,6.951784841,NA,OFAV_SP
94,OFAV_SP_3EV30_P2,OFAV,SP,P2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
95,OFAV_SP_3EV30_P3,OFAV,SP,P3,13,4.17270195,0.0816,0.0386,9.98,0.3137,0.2193,5.037639141,1.192296996,NA,1.039954846,2.336615487,4.050133511,NA,OFAV_SP
96,OFAV_SP_3EV30_P4,OFAV,SP,P4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
97,OFAV_SP_3EV31_P3,OFAV,SP,P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
98,OFAV_SP_3JQ1_P1,OFAV,SP,P1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
99,OFAV_SP_3JQ1_P2,OFAV,SP,P2,36,NA,0.0836,0.0448,9.785,0.3002,0.2099,NA,NA,NA,NA,NA,NA,NA,OFAV_SP
100,OFAV_SP_3JQ1_P3,OFAV,SP,P3,11.5,4.685236769,0.1018,0.054,10.182,0.3642,0.2541,6.627383851,1.359925936,NA,0.947972415,4.295407253,5.64539239,NA,OFAV_SP
101,OFAV_SP_3JQ1_P4,OFAV,SP,P4,20,3.813370474,0.1396,0.0492,6.363,0.3951,0.2301,6.166154979,1.33202374,NA,0.568648113,7.73593864,3.146822498,NA,OFAV_SP
102,OFAV_SP_3JQ10,OFAV,SP,p,12,4.298050139,0.1208,0.0526,7.212,0.3853,0.2457,5.598887687,0.974325535,117.1073666,0.507585421,1.884575502,8.096694751,0.047809868,OFAV_SP
103,OFAV_SP_4DW11,OFAV,SP,p,10,6.752089136,0.138,0.0524,7.307,0.414,0.2275,5.75826719,0.427719472,81.45627063,0.670319591,2.962046205,2.813943895,0.070691515,OFAV_SP
104,OFAV_SP_4EV15,OFAV,SP,p,28,3.247910864,0.087,0.0408,10.654,0.3438,0.2226,6.819440022,1.11791861,126.4402516,NA,8.836449398,37.06998284,0.053934091,OFAV_SP
105,OFAV_SP_6JQ16,OFAV,SP,p,22.5,4.206128134,0.1118,0.0552,8.872,0.3505,0.2461,6.167697268,0.078768998,92.49896524,0.555070351,0.133733444,10.6986755,0.066678554,OFAV_SP
106,OFAV_SP_8EV24,OFAV,SP,p,7,4.590529248,0.1162,0.0678,8.838,0.3803,0.2601,3.617876234,0.627640049,103.8188208,0.415761964,2.630415655,6.099514563,0.03484798,OFAV_SP
107,OFAV_SP_9EV2,OFAV,SP,p,12.5,4.470752089,0.1174,0.0476,8.475,0.3688,0.2257,4.196907581,1.36085884,70.83073727,0.6206619,3.634735203,6.98987539,0.059252632,OFAV_SP
