"","bag_number","depth","act_depth","species","colony_number","site","colony_id","airbrush_volume","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","sym.cm2","W","H","CW","CH","A","CA","di","Cdi","A.CA","D","chla.ug.cm2","chlc2.ug.cm2"
"90","332",30,36,"OFRA",4,"Media Luna","30OFR4ML","26.5",2.61072996723155,4.52526527653469,115.16219967146,0.4682,0.3702,0.261,0.2232,0.1416,0.0454,0.4192,0.2421,3.11894273127753,6.548,3.68181094439904,0.858538549724095
"91","334",30,35,"OFRA",5,"Media Luna","30OFR5ML","30.5",5.60172237418584,7.96689404328652,58.8180849289513,0.4012,0.5106,0.2528,0.2934,0.1626,0.0592,0.4559,0.2731,2.74662162162162,5.592,2.43438406110174,0.565649477073344
"92","345",45,45,"OFRA",1,"Media Luna","45OFR1ML","30",2.35425588791998,4.42023554466609,87.6039435780994,0.429,0.4434,0.2442,0.2078,0.1598,0.045,0.4362,0.226,3.55111111111111,5.626,5.09143870291593,1.35417759593928
"93","347",45,46,"OFRA",2,"Media Luna","45OFR2ML","21.5",2.69500698406359,4.58151187290811,49.5207533321685,0.5172,0.5474,0.3018,0.3208,0.2196,0.0768,0.5323,0.3113,2.859375,4.014,4.30424057103103,1.13894363905258
"94","371",45,45,"OFRA",3,"Media Luna","45OFR3ML","20.5",2.49236280028008,3.8344043081232,119.612112163027,0.4272,0.4478,0.2602,0.2652,0.1558,0.0544,0.4375,0.2627,2.86397058823529,5.488,NA,NA
"95","372",45,42,"OFRA",4,"Media Luna","45OFR4ML","32",5.20680964121987,9.1436657114105,245.947674914196,0.424,0.43,0.2702,0.2692,0.1438,0.0568,0.427,0.2697,2.53169014084507,7.229,8.92089468915912,1.4918779575666
"96","373",45,45,"OFRA",5,"Media Luna","45OFR5ML","23.5",2.25966312030482,4.45567375834754,98.7674349724603,0.4516,0.4202,0.281,0.2824,0.1456,0.0608,0.4359,0.2817,2.39473684210526,5.468,3.30598262372935,0.661476595667823
"97","170",55,52,"OFRA",1,"Media Luna","55OFR1ML","25",3.21803907082697,9.17326079959871,142.284179611611,0.4162,0.5032,0.268,0.2996,0.172,0.0602,0.4597,0.2838,2.85714285714286,5.36,3.4836320962089,1.14787823545946
"98","187",55,60,"OFRA",2,"Media Luna","55OFR2ML","33",2.84111201307506,4.89545454560626,121.512175328441,0.5084,0.429,0.3048,0.2602,0.1808,0.063,0.4687,0.2825,2.86984126984127,5.408,2.48107755689507,0.62229094969461
"99","189",55,63,"OFRA",3,"Media Luna","55OFR3ML","25.5",2.34159887619247,2.61030694395226,43.6330719603987,0.3902,0.3784,0.2046,0.2306,0.1174,0.0384,0.3843,0.2176,3.05729166666667,6.835,3.57386848369433,1.10120404854645
"100","193",55,60,"OFRA",4,"Media Luna","55OFR4ML","18.5",3.96845924001245,5.95268886001868,65.6685517191786,0.4168,0.4768,0.2666,0.2788,0.1544,0.0572,0.4468,0.2727,2.6993006993007,6.25,4.63747532689122,1.06765726625049
"101","194",55,64,"OFRA",5,"Media Luna","55OFR5ML","22.5",3.04518406280456,5.73211117704387,80.276094027706,0.4584,0.4846,0.278,0.2972,0.1802,0.063,0.4715,0.2876,2.86031746031746,6.313,3.2540677669819,0.839515449471217
