"Label","Area","Mean","Min","Max","Angle","Length","CALICE","MEASUREMENT"
"30OFA5T",0.0003326,113.236,0,160,-89.095,0.355,"C2","H"
"30OFA5T",0.0001886,84.878,0.245,156.495,-88.934,0.201,"C2","CH"
"30OFA5T",0.0003291,130.239,0.333,162.333,1.828,0.351,"C2","W"
"45OFA1T",0.0004583,132.325,0.061,210.333,-89.187,0.475,"C1","H"
"45OFA1T",0.0002913,160.874,2.348,219,-0.366,0.301,"C2","CW"
"45OFA1T",0.149,169.349,0,229,0,0,"C2","A"
"45OFA1T",0.061,150.522,0,220,0,0,"C2","CA"
"45OFA1T",0.0004991,151.862,0.333,226.255,-92.133,0.518,"C3","H"
"45OFA1T",0.0003451,138.802,0.805,189.237,-93.865,0.357,"C3","CH"
"45OFA1T",0.0003896,156.648,0.508,213.667,-0.137,0.404,"C3","W"
"45OFA1T",0.0002727,137.178,0.513,186.667,-0.196,0.282,"C3","CW"
"45OFA1T",0.178,169.541,0,234,0,0,"C3","A"
"45OFA1T",0.078,148.848,0,227,0,0,"C3","CA"
"45OFA1T",0.0004713,129.81,0.252,198.214,-89.435,0.488,"C4","H"
"45OFA1T",0.0002969,135.044,3.139,191.541,-89.102,0.307,"C1","CH"
"45OFA1T",0.0002931,119.8,0.333,177,-90,0.303,"C4","CH"
"45OFA1T",0.0004351,163.851,0.333,200,0,0.451,"C4","W"
"45OFA1T",0.0003154,147.502,0.333,204.959,0.507,0.327,"C4","CW"
"45OFA1T",0.199,169.372,0,237,0,0,"C4","A"
"45OFA1T",0.072,142.188,0,237,0,0,"C4","CA"
"45OFA1T",0.0004592,158.885,97,216.333,-90,0.476,"C5","H"
"45OFA1T",0.0003395,144.493,96.636,207.375,-91.099,0.352,"C5","CH"
"45OFA1T",0.0004073,153.428,99.283,203,0.916,0.422,"C5","W"
"45OFA1T",0.0002978,139.056,96.942,178.383,0.358,0.308,"C5","CW"
"45OFA1T",0.178,172.577,0,240,0,0,"C5","A"
"45OFA1T",0.0004434,147.666,0.333,202.688,-1.321,0.46,"C1","W"
"45OFA1T",0.074,150.333,0,240,0,0,"C5","CA"
"45OFA1T",0.0002913,132.823,0.667,207.614,-1.464,0.302,"C1","CW"
"45OFA1T",0.18,164.056,0,239,0,0,"C1","A"
"45OFA1T",0.071,140.005,0,221,0,0,"C1","CA"
"45OFA1T",0.0004332,155.423,0.143,205.203,-90.738,0.449,"C2","H"
"45OFA1T",0.0002987,140.176,0.333,183.589,-90.535,0.309,"C2","CH"
