pan_number,colony_id,sym_host,sample_volume,pan_weight,pan_dry_sample,tissue_biomass,pan_burned_sample,AFDW(g/ml)
316,OFAV_SS_3JQ1_P1,SYM,1,0.9734,0.9907,0.0173,0.9882,0.002500
317,OFAV_SS_4EV15,SYM,1,0.9776,0.9911,0.0135,0.9898,0.001300
318,OFAV_SS_1AZ5,SYM,1,0.9454,0.9702,0.0248,0.9677,0.002500
319,OFAV_SS_9JQ5,SYM,1,0.9756,0.9925,0.0169,0.9886,0.003900
320,OFRA_PP_1GT37_P2,SYM,1,0.9624,0.9763,0.0139,0.9750,0.001300
321,OFAV_SS_9AZ81_P1,HOST,4,0.9626,1.0088,0.0462,1.0001,0.002175
322,OFAV_SS_2EV6,HOST,4,0.9536,1.0005,0.0469,0.9937,0.001700
323,OFAV_SS_9EV2_P1,HOST,4,0.9863,1.0321,0.0458,1.0274,0.001175
324,OFRA_PS_4CX12,HOST,4,1.0003,1.0392,0.0389,1.0343,0.001225
325,OFRA_PS_2GT31,HOST,4,0.9660,1.0109,0.0449,1.0061,0.001200
326,OFAV_SS_0DW46,HOST,4,0.9714,1.0213,0.0499,1.0133,0.002000
327,OFAV_SS_9DW37_P2,HOST,4,0.9511,1.0017,0.0506,0.9936,0.002025
328,OFAV_SS_9AZ10,HOST,4,0.9669,1.0155,0.0486,1.0076,0.001975
329,OFAV_SP_3JQ1_P2,HOST,4,0.9526,0.9936,0.0410,0.9916,0.000500
330,OFAV_SS_2EV34,HOST,4,0.9811,0.9926,0.0115,0.9891,0.000875
331,OFAV_SS_2EV3,HOST,4,0.9897,0.9995,0.0098,0.9916,0.001975
332,OFAV_SS_4EV14,HOST,4,0.9510,1.0127,0.0617,1.0088,0.000975
333,OFAV_SP_2AZ7_P3,HOST,4,0.9528,1.0029,0.0501,0.9993,0.000900
334,OFAV_SP_2AZ21_P1,HOST,4,0.9578,0.9843,0.0265,0.9801,0.001050
335,OFAV_SS_9DW37_P1,HOST,4,0.9653,1.0081,0.0428,1.0001,0.002000
336,OFAV_SP_3EV30_P2,HOST,4,0.9663,0.9982,0.0319,0.9929,0.001325
337,OFAV_SS_4DW14,HOST,4,0.9676,1.0037,0.0361,0.9999,0.000950
338,OFAV_SP_0AZ4,HOST,4,0.9725,1.0018,0.0293,0.9952,0.001650
339,OFAV_SS_4DW11,HOST,4,0.9574,1.0259,0.0685,1.0202,0.001425
340,OFAV_SS_2AZ7_P1,HOST,4,0.9636,1.0110,0.0474,1.0027,0.002075
341,OFAV_SS_9AZ81_P1,SYM,1,0.9611,0.9766,0.0155,0.9738,0.002800
342,OFAV_SS_2EV6,SYM,1,0.9613,0.9740,0.0127,0.9718,0.002200
343,OFAV_SS_9EV2_P1,SYM,1,0.9747,0.9858,0.0111,0.9852,0.000600
344,OFRA_PS_4CX12,SYM,1,0.9608,0.9746,0.0138,0.9715,0.003100
345,OFRA_PS_2GT31,SYM,1,0.9664,0.9811,0.0147,0.9789,0.002200
346,OFAV_SS_0DW46,SYM,1,0.9688,0.9853,0.0165,0.9831,0.002200
347,OFAV_SS_9DW37_P2,SYM,1,0.9655,0.9896,0.0241,0.9852,0.004400
348,OFAV_SS_9AZ10,SYM,1,0.9554,0.9709,0.0155,0.9686,0.002300
349,OFAV_SP_3JQ1_P2,SYM,1,0.9810,0.9969,0.0159,0.9959,0.001000
350,OFAV_SS_2EV34,SYM,1,0.9583,0.9721,0.0138,0.9705,0.001600
351,OFAV_SS_2EV3,SYM,1,0.9500,0.9637,0.0137,0.9616,0.002100
352,OFAV_SS_4EV14,SYM,1,0.9664,0.9796,0.0132,0.9790,0.000600
353,OFAV_SP_2AZ7_P3,SYM,1,0.9612,0.9749,0.0137,0.9732,0.001700
354,OFAV_SP_2AZ21_P1,SYM,1,0.9734,0.9909,0.0175,0.9894,0.001500
355,OFAV_SS_9DW37_P1,SYM,1,0.9566,0.9704,0.0138,0.9684,0.002000
356,OFAV_SP_3EV30_P2,SYM,1,0.9475,0.9638,0.0163,0.9601,0.003700
357,OFAV_SS_4DW14,SYM,1,0.9612,0.9767,0.0155,0.9740,0.002700
